State,Year,Month,Day,Rainfall (mm)
Johor,2016,5,27,0.01
Johor,2016,5,28,0.00
Johor,2016,5,29,0.00
Johor,2016,5,30,0.00
Johor,2016,5,31,0.00
Johor,2016,6,1,0.00
Johor,2016,6,2,0.00
Johor,2016,6,3,0.00
Johor,2016,6,4,0.00
Johor,2016,6,5,0.00
Johor,2016,6,6,0.00
Johor,2016,6,7,0.00
Johor,2016,6,8,0.00
Johor,2016,6,9,0.00
Johor,2016,6,10,0.00
Johor,2016,6,11,0.01
Johor,2016,6,12,0.00
Johor,2016,6,13,0.00
Johor,2016,6,14,0.00
Johor,2016,6,15,0.00
Johor,2016,6,16,0.00
Johor,2016,6,17,0.00
Johor,2016,6,18,0.00
Johor,2016,6,19,0.00
Johor,2016,6,20,0.00
Johor,2016,6,21,0.00
Johor,2016,6,22,0.00
Johor,2016,6,23,0.00
Johor,2016,6,24,0.00
Johor,2016,6,25,0.00
Johor,2016,6,26,0.00
Johor,2016,6,27,0.00
Johor,2016,6,28,0.00
Johor,2016,6,29,0.00
Johor,2016,6,30,0.00
Johor,2016,7,1,0.08
Johor,2016,7,2,0.00
Johor,2016,7,3,0.00
Johor,2016,7,4,0.05
Johor,2016,7,5,0.00
Johor,2016,7,6,0.00
Johor,2016,7,7,0.00
Johor,2016,7,8,0.00
Johor,2016,7,9,0.00
Johor,2016,7,10,0.00
Johor,2016,7,11,0.00
Johor,2016,7,12,0.00
